address,code,description,floor,latitude,longitude,photos,price_local,price_usa,views_day,views_week,zones,Агентство,Балкон,Бытовая техника,Год постройки,Дата обновления,Дополнительно,Мебель,Метро,Планировка,Плита,Полы,Примечания,Район города,Ремонт,Сан/узел,Соседи по квартире,Телефон,Тип дома,rooms,total_area,living_area,kitchen_area,floors,plan_proc,panel_type,photos_proc,Ближайшее метро,До метро,До центра
"Минск, Богдановича ул., 128",1193351,"Сдается 4-х комнатная  VIP-квартира по ул. Богдановича 128, вся техника Bosh,сушилка для белья,домашний кинотеатр,вся мебель, посудомоечная машина,бойлер,2 санузла, гардеробная, домофон, видеодомофон, сигнализация, металлическая дверь, охраняемая территория, консьержка, лифт, встроенные шкафы, стеклопакеты, подземный гараж входит в стоимость аренды,хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом супермаркет, рядом гипермаркет, рядом спортивный центр, элитная квартира.. На длительный срок,договор,регистрация.паркинг место входит в стоимость аренды.Сдается впервые!https://www.instagram.com/kv_minsk/",5,53.936709,27.584271,10.0,1286,650,3,73,"Я.Коласа-Рига, Некрасова, Восточная",1,0,"посудомоечная машина, домашний кинотеатр",2008.0,2017-12-21,"металлическая дверь, видеодомофон, благоустроенный двор, лифт, гараж, детская площадка, рядом спортивный центр, охраняемая территория, сигнализация, рядом гипермаркет, стеклопакеты, встроенные шкафы, хороший вид из окна, консьержка, рядом супермаркет, домофон, рядом супермаркет, VIP-квартира",1,Академия наук (Московская линия).,новостройка,1,ламинат,,Советский район,1,1,нет,1,каркасно-блочный,4,113.0,61.0,18.0,16,1.0,0,10.0,Акадэмія навук,1935.8527185287867,4091.8363427016866
"Минск, Богдановича ул., 122",1155827,"Сдается квартира по адресу ул. Максима Богдановича, дом 122. Квартира полностью меблирована и готова к проживанию, два санузла, тёплые полы на кухне и санузлах. Две больших лоджии, принудительная вентиляция с подогревом воздуха. Интернет белтелеком, кабельное телевидение, есть возможность подключить НТВ+. Бойлер в санузле. Плазменный телевизор в зале.",4,53.9361,27.5843,12.0,1286,650,8,88,"Я.Коласа-Рига, Некрасова, Восточная",1,0,"интернет, телевизор",2005.0,2017-12-21,,1,Академия наук (Московская линия).,новостройка,1,ламинат,,Советский район,1,1,нет,1,блок-комнаты,4,112.0,71.0,12.0,17,1.0,0,12.0,Акадэмія навук,1876.9199425063512,4029.542765742882
"Минск, Независимости просп., 185",1124723,"Актуальное предложение! Сдается элитная 4-х комн. квартира по пр-т Независимости 185. Дом с подземным паркингом, рядом парк, ст. метро ""Уручье"". Ремонт делался для себя из высококачественных и экологически чистых материалов. Квартира полностью укомплектована мебелью и бытовой техникой (холодильник, варочная поверхность, духовой шкаф, СВЧ, вытяжка, посудомоечная машина,кондиционеры, бойлер, стиральная машина, два телевизора, пылесос, утюг и т.д.). Квартира убрана, готова для длительного проживания с комфортом.",10,53.9473,27.6916,20.0,1286,650,6,85,Уручье,1,0,"кондиционер, посудомоечная машина, телевизор, свч-печь, холодильник, стиральная машина",2003.5714285714287,2017-12-20,,1,Уручье (Московская линия).,Пропуск,1,ламинат,,Первомайский район,1,1,нет,1,Пропуск,4,109.0,65.0,11.0,14,1.0,0,20.0,Уручча,323.46017441156073,9896.311550808563
"Минск, Богдановича ул., 120",1191788,,1,53.9363,27.5832,9.0,1282,648,8,100,"Я.Коласа-Рига, Некрасова, Восточная",0,1,"холодильник, посуда, свч-печь, стиральная машина, душевая кабина, джакузи, телевизор, интернет",2014.0,2017-12-15,"VIP-квартира, домофон, сигнализация, металлическая дверь, консьержка, лифт, встроенные шкафы, стеклопакеты, гараж, подземный гараж, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона, элитная квартира",1,Академия наук (Московская линия).,улучшенный проект,0,паркет,Новая 4х комнатная квартира большой площади с 2мя санузлами подземный гараж новый ремонт,Советский район,1,2,нет,1,каркасно-блочный,4,140.0,82.0,12.0,16,1.0,0,9.0,Акадэмія навук,1934.517850325069,4024.0195188941843
"Минск, Бурдейного ул.",1205806,,9,53.90488,27.460472,10.0,1187,600,3,57,"Запад, Красный Бор",0,1,"холодильник, посуда, свч-печь, стиральная машина, душевая кабина, телевизор, интернет, высокоскоростной интернет",2001.0,2017-12-04,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",1,Кунцевщина (Заводская линия).,улучшенный проект,1,паркет,,Фрунзенский район,0,1,нет,1,каркасно-блочный,4,100.0,97.0,14.0,9,1.0,0,10.0,Кунцаўшчына,448.07327806758525,6644.323222889007
"Минск, Независимости просп., 44",1196461,,5,53.9113,27.5793,3.0,1187,600,5,66,"Гикало,Золотая Горка",0,1,"холодильник, посуда, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, душевая кабина, телевизор, DVD-проигрыватель, музыкальный центр, интернет, высокоскоростной интернет, компьютерная сеть, кондиционер",1957.0,2017-12-12,"домофон, сигнализация, металлическая дверь, охраняемая территория, встроенные шкафы, стеклопакеты, гараж, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона, элитная квартира",1,Площадь Победы (Московская линия).,сталинка,0,паркет,,Советский район,1,2,нет,1,кирпичный,4,98.0,76.0,10.0,5,1.0,0,3.0,Плошча Перамогі,286.23509221732866,1526.993003327081
"Минск, Восточная ул., 39",1185759,"Сдаётся роскошная 4-х комнатная просторная квартира, на длительный срок, по адресу г. Минск, ул. Восточная 39. Солнечная сторона, просторный зал, итальянская мебель, полы с подогревом, душевая кабина, джакузи, бойлер, посудомоечная машина, микроволновая печь, холодильник с морозильной камерой и отдельно морозильная камера. Новейший ремонт, состояние новой, на солнечной стороне установлены роль-шторы, позволяющие полностью перекрывать свет в любое время суток. Тихий район, сквер, через дорогу школа и два продуктовых магазина в 3 минутах ходьбы от дома, торговый центр ""Европа"" в одной остановке, как и ТЦ""Рига"". Охраняемая стоянка, огороженная территория. Сдается на длительный срок. Ранее не сдавалась! Рассмотрим иностранцев, договор, регистрация!",9,53.9345,27.5931,15.0,1187,600,3,65,"Я.Коласа-Рига, Некрасова, Восточная",1,0,"душевая кабина, посудомоечная машина, джакузи, холодильник",2003.0,2017-12-21,рядом магазин,1,Академия наук (Московская линия).,Пропуск,1,ламинат,,Советский район,1,1,нет,1,Пропуск,4,115.0,74.0,14.0,10,1.0,0,15.0,Акадэмія навук,1475.8498505491248,4123.701902604963
"Минск, Филимонова ул., 45",1194418,"Сдаётся просторная четырёх комнатная квартира по адресу ул.Филимонова д.45 ст. метро""Восток""Квартира полностью укомплектована всей мебелью и бытовой техникой.Четыре отдельные комнаты, просторная кухня со встроенной бытовой техникой, раздельные сан. узлы. Квартира имеет три застеклённые лоджии с которых расстилается отличный вид с высокого девятого этажа.Хороший кирпичный дом ,рядом парк, гимназия, садики. Готова для заселения и комфортного проживания!",9,53.9228,27.6368,15.0,1187,600,5,67,Макаенка,1,0,,1993.0,2017-12-20,,1,Московская (Московская линия).,Пропуск,1,ламинат,,Первомайский район,1,1,нет,1,Пропуск,4,80.0,47.0,11.0,9,1.0,0,15.0,Маскоўская,815.0732963004382,5440.962962668454
"Минск, Городецкая ул., 44",1147306,,2,53.945068,27.672528,22.0,1187,600,7,79,Уручье,0,2,"холодильник, посуда, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, телевизор, DVD-проигрыватель, музыкальный центр, интернет",1997.0,2017-12-03,"домофон, металлическая дверь, стеклопакеты, хороший вид из окна, благоустроенный двор, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом спортивный центр, рядом зеленая зона",1,Уручье (Московская линия).,улучшенный проект,1,паркетная доска,"Срок аренды не ограничен. Чистая, ухоженная квартира. Частным лицам и организациям. Укомплектованность по запросу. Форма расчета любая, безналичный (+НДС) предпочтителен.После приличного ремонта никто не жил.",Первомайский район,1,2,нет,1,кирпичный,4,119.0,69.0,16.0,3,1.0,0,22.0,Барысаўскі тракт,802.8036123201708,8699.068443133034
"Минск, Лобанка ул., 81",1150968,,5,53.88743,27.430431,14.0,1089,550,5,82,Сухарево,0,1,"холодильник, свч-печь, мелкая бытовая техника, посудомоечная машина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",2008.0,2017-08-27,"домофон, сигнализация, металлическая дверь, охраняемая территория, лифт, встроенные шкафы, стеклопакеты, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом спортивный центр, рядом зеленая зона",0,нет,улучшенный проект,1,паркетная доска,"Отличная квартира, близко расположена к метро. В шаговой доступности сады, школы, гимназии и поликлиники",Фрунзенский район,0,2,нет,1,кирпичный,4,125.0,80.0,15.0,9,1.0,0,14.0,Каменная Горка,2197.7610343043466,8777.00129478468
