,Unnamed: 0,address,area,code,description,floor,kv,latitude,longitude,photos,price_local,price_usa,views_day,views_week,zones,Агентство,Балкон,Бытовая техника,Вид этажа,Год кап.ремонта,Год постройки,Дата обновления,Дополнительно,Мебель,Метро,На Новый год,Направление,Населенный пункт,Планировка,Плита,Полы,Предоплата,Примечания,Район (области),Район города,Ремонт,Сан/узел,Соседи по квартире,Специалист,Срок сдачи,Телефон,Тип дома,УНП,Условия сдачи,Услуга агентства,Число спальных мест,Этаж / этажность,До центра,До метро
0,0,"Минск, Шпилевского ул., 60/-",85/17/0,1195012,, 9/10 м , к/3 ,53.845934,27.564095,,222 руб/месяц,109 $/месяц,16,54,Лошица,,2 лоджии,"холодильник, свч-печь, стиральная машина, телевизор, интернет, компьютерная сеть",,,2010.0,2017-11-15,"домофон, сигнализация, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет",есть,Пролетарская,,,Минск,улучшенный проект,электрическая,ламинат,месяц,,,Ленинский район,нормальный ремонт,раздельный,1 человек,,длительный,есть,монолитный,,не компаниям,,,9 / 10,6516,5126
1,1,"Минск, Космонавтов ул., 11",88/15/0,1205880,, 8/9 п , к/4 ,53.8529,27.4688,1.0,224 руб/месяц,110 $/месяц,19,77,Малиновка,,2 балкона застекленные,"холодильник, мелкая бытовая техника, стиральная машина",,,1988.0,2017-12-05,"домофон, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом зеленая зона",есть,Малиновка,,,Минск,стандартный проект,электрическая,ламинат,месяц,"СРОЧНОСдается большая проходная комната на длительный срок в 4-х комнатной квартире. Из комнаты имеется выход на застекленную лоджию, в кладовку. Очень удобное месторасположение – 3 минуты до метро Малиновка, рядом гипермаркет, парк, множество магазинов, развита инфраструктура. В квартире есть все необходимое для комфортного проживания – холодильник, плита, духовка, стиральная машина, большой шкаф-купе, мебель, застекленная лоджия. Проживание без хозяев. 110дол",,Московский район,отличный ремонт,раздельный,3 человека,,длительный,нет,панельный,,,,,8 / 9,8359,552
2,2,"Минск, Мазурова ул., 12",80/15/0,1206829,, 6/9 б , к/3 ,53.8978,27.4249,2.0,220 руб/месяц,108 $/месяц,21,62,"Запад, Красный Бор",,балкон,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, интернет, высокоскоростной интернет, компьютерная сеть",,,1999.0,2017-12-06,"домофон, сигнализация, лифт, встроенные шкафы, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",есть,Каменная горка,,,Минск,улучшенный проект,газовая,,месяц,,,Фрунзенский район,нормальный ремонт,раздельный,,,длительный,есть,блок-комнаты,,,,,6 / 9,8982,1317
3,3,"Минск, Солнечная ул., 30",62/10/6,631596,, 2н/5 б , к/4 ,53.862435,27.568182,,220 руб/месяц,108 $/месяц,16,30,Маяковского,,нет,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет, высокоскоростной интернет",,2017.0,1966.0,2017-11-03,"домофон, металлическая дверь, рядом магазин, рядом супермаркет",есть,Институт Культуры,,,Минск,стандартный проект,газовая,паркет,месяц,"Договор; для парня; без хозяев; к-та закр. на ключ; в к-те: д-кровать, 2 шкафа, стол, стол, банкетка, без дом. животных, рядом автобусная ост., магазин, кафе, дет. сад, недалеко евроопт, 5-ый элемент, червенский рынок, аптека, 6 остановок от жд-вокзала; для общ. пользования: электрочайник, утюг, пылесос; тихий двор.",,Ленинский район,нормальный ремонт,раздельный,2 человека,,длительный,есть,блок-комнаты,,не компаниям,,,2 / 5,4699,3198
4,4,"Минск, Голодеда ул.",30/8/0,1203463,, 7/9 к , 1/1 ,53.841086,27.644423,,180 руб/месяц,"88,4 $/месяц",26,230,Чижовка,,лоджия застекленная + вагонка,"холодильник, посуда, стиральная машина, телевизор",,,,2017-11-30,"домофон, лифт, хороший вид из окна, рядом магазин, рядом рынок, рядом спортивный центр, рядом зеленая зона",есть,Могилевская,,,Минск,,газовая,,,Ищу на подселение девушку в аккуратную однокомнатную квартиру.,,Заводской район,,совмещенный,,,длительный,есть,кирпичный,,,,,7 / 9,8906,3032
5,5,"Минск, Илимская ул., 33",35/15/0,1203631,, 8/9 п , 1/1 ,53.8887,27.6819,,285 руб/месяц,140 $/месяц,26,222,Ангарская,Тэтравита,,,,,1985.0,2017-12-01,,,Могилевская,,,Минск,чешский проект,,,,"В Заводском районе по ул. Илимская,33 сдается однокомнатная квартира. Без мебели и бытовой техники. На кухне плита газовая, два шкафчика, стол, стулья. Комната пустая. Пол линолеум. Санузел раздельный. Этаж 8/9. Лоджия застеклена. Прописан 1 человек. До метро ` Могилевская ` - 5 остановок.",,Заводской район,,,,,длительный,,панельный,,,по факту,,8 / 9,8084,3016
6,6,"Минск, Короля ул., 30",38/18/7,1171766,, /5 , 1/1 ,53.904287,27.537854,2.0,366 руб/месяц,180 $/месяц,29,323,"Немига, Короля",,балкон,"холодильник, посуда, мелкая бытовая техника, стиральная машина, телевизор, высокоскоростной интернет",,,,2017-11-10,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом зеленая зона",есть,Фрунзенская,,,Минск,,,ламинат,не нужна,,,Московский район,отличный ремонт,раздельный,,,длительный,есть,,,не компаниям,,,5 этажей,1549,150
7,7,"Минск, Ванеева ул., 14",30/19/0,1205043,, 2/5 п , 1/1 ,53.8828,27.6134,,366 руб/месяц,180 $/месяц,17,142,Тракторный Завод,,балкон,"холодильник, телевизор, интернет",,,,2017-12-03,"домофон, металлическая дверь, окна во двор, рядом магазин, рядом рынок",есть,Тракторный завод,,,Минск,хрущевка,газовая,деревянные,месяц,"Сдам на длительный срок 1- комнатную квартиру по ул.Ванеева 14. Хорошее транспортное сообщение, пять минут пешком до ст. метро Тракторный завод. Рядом парк, аптека, мини-рынок, универсам. Квартира в хорошем состоянии. Есть вся мебель, телефон, интернет, холодильник, телевизор. Прописан 1 человек. 180 у.е.+коммунальные.",,Партизанский район,нормальный ремонт,совмещенный,,,длительный,есть,панельный,,семье,,,2 / 5,4171,757
8,8,"Минск, Лучины ул., 4",40/30/0,1208708,, 3/9 п , 1/1 ,53.838618,27.566619,6.0,407 руб/месяц,200 $/месяц,27,27,Лошица,Тэтравита,лоджия,"холодильник, телевизор, интернет",,,2004.0,2017-12-08,"домофон, металлическая дверь, лифт, стеклопакеты, рядом магазин",есть,Пролетарская,,,Минск,новостройка,,ламинат,,,,Ленинский район,отличный ремонт,раздельный,,,длительный,,панельный,,,по факту,,3 / 9,7335,5874
9,9,"Минск, Барамзиной ул., 8",34/17/9,875637,, 3/5 б , 1/1 ,53.876547,27.905571,8.0,448 руб/месяц,220 $/месяц,13,82,Сокол,,балкон застекленный,"холодильник, посуда, мелкая бытовая техника, стиральная машина, высокоскоростной интернет",,2009.0,1989.0,2017-12-05,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты, рядом супермаркет, рядом зеленая зона",есть,Могилевская,,,Минск,улучшенный проект,газовая,ламинат,месяц,"М-н Сокол (см. карту). Современный ремонт, вся мебель и техника: кухня со встроенной техникой, большой холодильник, стиральная машина, шкафы в прихожей и комнате, диван, кресла, интернет оптоволокно - ByFly + Zala. В шаговой доступности школа, д. сад, поликлиника, почта, Корона, Евроопт, др. магазины. Рядом лес, река Волма и Петровичское водохранилище. Договор, собственник. Оплата - 1 месяц + залог.",,Октябрьский район,отличный ремонт,раздельный,,,длительный,есть,блок-комнаты,,,,,3 / 5,22766,15263
10,10,"Минск, Левкова ул., 17",34/18/8,1205721,, 6/9 п , 1/1 ,53.8778,27.5583,,428 руб/месяц,210 $/месяц,17,91,"Аэродромная, Могилевская, Воронянского",,лоджия застекленная + вагонка,холодильник,,,1999.0,2017-12-04,"домофон, металлическая дверь, лифт, детская площадка, рядом магазин, рядом зеленая зона",есть,Институт Культуры,,,Минск,стандартный проект,газовая,линолеум,месяц,"Сдается 1-комн.кв на длительный срок Октябрьский район(метро `Институт культуры`),район ул.Воронянского.В квартире хороший ремонт,имеется:кухня,холодильник,диван,секция.СТОИМОСТЬ:210у.е+ком.платежи+залог150 у.е(возвращается при выселении)",,Октябрьский район,хороший ремонт,раздельный,,,длительный,нет,панельный,,,,,6 / 9,2977,1492
11,11,"Минск, Боровецкий пер., 1",52/28/0,1192185,, 2/9 п , 1/1 ,53.969,27.5804,6.0,448 руб/месяц,220 $/месяц,9,41,Цна,Тэтравита,,,,,2012.0,2017-11-10,,,Академия Наук,,,Минск,новостройка,,,,,,Советский район,,,,,длительный,,панельный,,,по факту,,2 / 9,7280,5382
12,12,"Минск, Хоружей ул.",42/28/0,1205535,, 3/4 к , 1/1 ,53.9176,27.5778,6.0,448 руб/месяц,220 $/месяц,26,116,"Богдановича, Куйбышева, Веры Хоружей",Тэтравита,,,,,1959.0,2017-12-04,,,Площадь Якуба Коласа,,,Минск,хрущевка,,,,Отличная квартира возле метро Якуба Коласа,,Советский район,,,,,длительный,,кирпичный,,,по факту,,3 / 4,1806,432
13,13,"Минск, Берута ул., 6/4",32/17/6,1092036,"Сдаётся 1-комнатная квартира по ул. Берута 6-4: до станции метро ""Пушкина"" 3 мины пешком. Этаж 4 из 5, дом после кап.ремонта просторная парковка огромное кол-во транспорта на остановке которая в 2 минутах ходьбы от подъезда. Полностью укомплектована мебелью и бытовой техникой. Современная кухня, просторная комната, имеется современный диван, тумба под телевизор, столик; в коридоре вместительный шкаф-купе, раздельный, есть лоджия застеклена. Оборудование: сигнализация (охрана МВД), телефон, Интернет (оптика), ТВ, стиральная машина, плита (новая), холодильник, печь СВЧ, пылесос. Рядом с домом находятся магазины ""Белмаркет"", ""Заходний"", ""Евроопт"".", 4в/5 п , 1/1 ,53.907,27.498,14.0,590 руб/месяц,290 $/месяц,13,70,Пушкина-Харьковская-Берута-Гусовского,Гарант Недвижимость,,,,,1967.0,2017-12-05,,есть,Пушкинская,,,Минск,брежневка,,ламинат,не нужна,,,Фрунзенский район,евроремонт,,,,длительный,есть,панельный,,,по факту,,4 / 5,4170,298
14,14,"Минск, Берута ул., 17/1",33/17/6,1205628,, 1/9 п , 1/1 ,53.90102099999999,27.507429,4.0,590 руб/месяц,290 $/месяц,21,99,Пушкина-Харьковская-Берута-Гусовского,,лоджия застекленная,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет, высокоскоростной интернет",,2012.0,1971.0,2017-12-04,"домофон, металлическая дверь, лифт, стеклопакеты, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом зеленая зона",,Молодежная,,,Минск,стандартный проект,газовая,ламинат,месяц,"Сдам квартиру на длительный срок (рассмотрю и другие варианты). Квартира после ремонта. Новая мебель и техника (два дивана, шкаф, шкаф-купе, холодильник, свч, стир, машина и т. д.) Ламинат, плитка. Все вопросы по телефону расскажу подробнее. Собственник!",,Фрунзенский район,евроремонт,раздельный,,,длительный,есть,панельный,,не компаниям,,,1 / 9,3564,1166
15,15,"Минск, Пушкина просп., 30",33/8/0,1198223,, 4/9 п , 1/1 ,53.9066,27.4971,5.0,609 руб/месяц,299 $/месяц,8,60,Пушкина-Харьковская-Берута-Гусовского,Мир недвижимости плюс,2 лоджии,,,,1970.0,2017-11-22,,есть,Пушкинская,,,Минск,улучшенный проект,,,,Идеальное предложение для молодой семьи.Возможна перепланировка в двухкомнатную квартиру.,,Фрунзенский район,,раздельный,,,длительный,,панельный,,,,,4 / 9,4226,337
16,16,"Солнечный, Сосновая ул., 2",49/22/0,1169154,, 2/5 к , 1/1 ,53.970269,27.62227,7.0,611 руб/месяц,300 $/месяц,3,23,,,2 балкона застекленные,,,,2013.0,2017-09-29,"домофон, металлическая дверь, стеклопакеты, парковка, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет, рядом зеленая зона",,Восток,,Логойское 1.0 км. от МКАД,Солнечный,новостройка,газовая,ламинат,,,,,евроремонт,совмещенный,,,длительный,,кирпичный,,,,,2 / 5,8327,4412
17,17,"Минск, Щорса ул., 8",46/25/0,1205030,, 7/16 КБ , 1/1 ,53.8832,27.5196,8.0,611 руб/месяц,300 $/месяц,12,110,"Дзержинского, Хмелевского, Щорса",,,"холодильник, посуда, свч-печь, посудомоечная машина, стиральная машина, телевизор, интернет",,,2009.0,2017-12-03,"VIP-квартира, домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, хороший вид из окна, благоустроенный двор, детская площадка, рядом супермаркет, рядом рынок, элитная квартира",есть,Грушевка,,,Минск,новостройка,газовая,ламинат,,,,Московский район,евроремонт,раздельный,,,длительный,есть,КБ,,,,,7 / 16,3626,490
18,18,"Минск, Правда газеты просп., 9/А",37/17/10,881157,, 5в/25 кб , 1/1 ,53.869725,27.486525,7.0,611 руб/месяц,300 $/месяц,12,91,Юго-Запад,Гарант Недвижимость,,,,,2013.0,2017-12-01,,есть,Петровщина,,,Минск,новостройка,,ламинат,не нужна,,,Московский район,евроремонт,,,,длительный,есть,кб,,,по факту,,5 / 25,6254,578
19,19,"Минск, Великоморская ул., 10",40/18/9,933966,"Сдаётся 1-комнатная квартира в новом доме по ул. Великоморская 10.Уютная современная квартира-студия для комфортной жизни. Сдается впервые. Полноценная кровать с ортопедическим матрасом и раскладной диван. Полностью укомплектованная кухня. Стиральная машина, холодильник, микроволновка.Благоустроенный двор, детская площадка, рядом гипермаркет E-сити. Ближайшая станция метро Институт Культуры.", 4в/9 п , 1/1 ,53.865483,27.565236,10.0,713 руб/месяц,350 $/месяц,11,54,Маяковского,Гарант Недвижимость,,,,,2005.0,2017-12-01,,есть,Институт Культуры,,,Минск,новостройка,,ламинат,не нужна,,,Ленинский район,евроремонт,,,,длительный,есть,панельный,,,по факту,,4 / 9,4346,2810
20,20,"Минск, Парниковая ул., 3/1",37/17/9,888647,, 7в/10 , 1/1 ,53.923,27.631388,9.0,713 руб/месяц,350 $/месяц,10,47,"Независимости, Кедышко, Волгоградская",Гарант Недвижимость,,,,,,2017-12-01,,есть,Московская,,,Минск,,,ламинат,не нужна,,,Первомайский район,евроремонт,,,,длительный,есть,,,,по факту,,7 / 10,5019,601
21,21,"Минск, Хоружей ул., 10/1",36/18/8,1191471,"Сдается однокомнатная квартира по ул. Хоружей 10 к1  в центре Минска: евроремонт, вся бытовая техника,вся мебель, консьерж,охраняемый паркинг,рядом ""Комаровский рынок"", в10 минутах ходьбы ст.метро ""Якуба Коласа""", 5в/16 м , 1/1 ,53.9203,27.5746,8.0,713 руб/месяц,350 $/месяц,8,36,"Богдановича, Куйбышева, Веры Хоружей",Гарант Недвижимость,,,,,1997.0,2017-12-05,,есть,Площадь Якуба Коласа,,,Минск,улучшенный проект,,ламинат,не нужна,,,Советский район,евроремонт,,,,длительный,есть,монолитный,,,по факту,,5 / 16,1955,772
22,22,"Минск, Гикало ул., 6",29/16/6,1197093,, 1/5 к , 1/1 ,53.9145,27.5894,7.0,713 руб/месяц,350 $/месяц,8,32,"Гикало,Золотая Горка",,,"холодильник, стиральная машина, душевая кабина, телевизор",,,1968.0,2017-11-20,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты",есть,Площадь Якуба Коласа,,,Минск,стандартный проект,газовая,линолеум,не нужна,Сдам отличную 1-ю квартиру в самом центре Минска на длительный срок. Коммунальные не большие есть зарегистрированые. В квартире имеется все для комфортного проживания. Находиться квартира на 1м этаже 5ти этажки. Балкона нет.,,Советский район,отличный ремонт,совмещенный,,,длительный,есть,кирпичный,,,,,1 / 5,2139,402
23,23,"Минск, Орловская ул., 86/1",33/17/7,1184123,"Сдается 1 комн. квартира с евроремонтом по ул. Орловская 86-1 (р-н Веснянка). Прописано 2 человека. Есть вся мебель и бытовая техника (телевизор, стиральная машина, холодильник). Квартира с просторной встроенной кухней, просторная комната комната, есть застекленная лоджия. Интернет - оптоволокно, окна ПВХ, дверь - железная. Парковка удобная, авто- и троллейбусная остановка у дома, пешая доступность до пр-т Победителей, рядом ""Мир фитнеса"". Готова для заселения и проживания на длительный срок.", 6в/9 , 1/1 ,53.929,27.5089,11.0,713 руб/месяц,350 $/месяц,8,41,Веснянка,Гарант Недвижимость,,,,,,2017-12-05,,есть,Пушкинская,,,Минск,стандартный проект,,ламинат,не нужна,,,Центральный район,евроремонт,,,,длительный,есть,,,,по факту,,6 / 9,4393,2288
24,24,"Минск, Воронянского ул., 40",45/21/10,1197475,, 6/12 кар , 1/1 ,53.87751700000001,27.545417,14.0,814 руб/месяц,400 $/месяц,13,153,"Аэродромная, Могилевская, Воронянского",,лоджия застекленная,"холодильник, посуда, свч-печь, стиральная машина, телевизор, высокоскоростной интернет",,,2017.0,2017-11-21,"VIP-квартира, домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, окна во двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом спортивный центр, элитная квартира",есть,Институт Культуры,,,Минск,новостройка,электрическая,ламинат,,"Квартира в элитном районе, с дизайнерским ремонтом, всё абсолютно новое, все окна выходят во двор",,Октябрьский район,евроремонт,совмещенный,,,длительный,,каркасно-блочный,,,,,6 / 12,3180,1005
25,25,"Минск, Воронянского ул., 11",42/18/9,1007431,"Стены облицованы обоями, полы - ламинат (в комнатах и на кухне) и плитка (в санузле), на окнах установлены стеклопакеты", 1в/9 п , 1/1 ,53.881,27.5419,3.0,814 руб/месяц,400 $/месяц,12,58,"Аэродромная, Могилевская, Воронянского",Гарант Недвижимость,балкон,,1-й высокий,,1985.0,2017-12-01,,есть,Институт Культуры,,,Минск,малосемейка,,ламинат,не нужна,,,Октябрьский район,евроремонт,совмещенный,,,длительный,есть,панельный,,,по факту,,1 / 9,2912,571
26,26,"Минск, Чюрлениса ул., 4",46/26/10,1153916,, 10/17 м , 1/1 ,53.855054,27.479635,10.0,814 руб/месяц,400 $/месяц,8,82,Брилевичи,,лоджия,"холодильник, свч-печь, мелкая бытовая техника, стиральная машина, душевая кабина, телевизор, интернет, высокоскоростной интернет",,2016.0,2016.0,2017-11-10,"домофон, стеклопакеты, хороший вид из окна, окна во двор, благоустроенный двор, рядом магазин, рядом супермаркет, рядом спортивный центр",есть,Малиновка,,,Минск,новостройка,электрическая,ламинат,месяц,"Хорошее месторасположение: рядом ТЦ титан , ТЦ магнит , Макдоналдс, Мединститут , станция метро Петровщина",,Московский район,евроремонт,совмещенный,,,длительный,есть,монолитный,,,,,10 / 17,7684,728
27,27,"Минск, Правда газеты просп., 15",45/40/10,837776,, 22/25 мк , 1/1 ,53.866455,27.484605,14.0,814 руб/месяц,400 $/месяц,8,69,Юго-Запад,,лоджия застекленная,"холодильник, стиральная машина, компьютерная сеть",,,2013.0,2017-10-20,"домофон, металлическая дверь, консьержка, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет",частично,Петровщина,,,Минск,новостройка,электрическая,ламинат,месяц,Агенствам просьба не беспокоить. Сдача только семейной паре. В квартире прописан владелец. При необходимости доукомплектация мебелью,,Московский район,евроремонт,раздельный,,,длительный,есть,монолитно-каркасный,,семье,,,22 / 25,6581,230
28,28,"Минск, Сморговский тракт, 3",41/29/0,888559,, 2в/20 кб , 1/1 ,53.935401,27.551522,4.0,713 руб/месяц,350 $/месяц,8,44,"Червякова, Шевченко",Гарант Недвижимость,,,,,2015.0,2017-12-01,,есть,Площадь Якуба Коласа,,,Минск,новостройка,,ламинат,не нужна,,,Центральный район,евроремонт,,,,длительный,есть,кб,,,по факту,,2 / 20,3498,3024
29,29,"Минск, Космонавтов ул., 14",45/25/0,1181703,, 5/9 п , 1/1 ,53.8535,27.4633,4.0,814 руб/месяц,400 $/месяц,10,40,Малиновка,,балкон застекленный,"холодильник, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, душевая кабина, телевизор, интернет, высокоскоростной интернет",,,2013.0,2017-11-23,"домофон, сигнализация, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, хороший вид из окна, детская площадка, рядом гипермаркет",есть,Малиновка,,,Минск,новостройка,,,,,,Московский район,,совмещенный,,,длительный,,панельный,,,,,5 / 9,8581,874
30,30,"Минск, Космонавтов ул., 14",45/9/0,1206806,, 5/9 п , 1/1 ,53.8535,27.4633,8.0,814 руб/месяц,400 $/месяц,15,51,Малиновка,,,,,,2013.0,2017-12-06,,,Малиновка,,,Минск,новостройка,,,,"Сдается чистая, светлая, уютная 1 комнатная квартира. Есть все необходимое для комфортного проживания, ТВ , стиральная машина, холодильник, СВЧ и д.р. 10 минут до станции метро Малиновка. В шаговой доступности Парк Павлова, продуктовые магазина, поликлиника и т.д",,Московский район,,,,,длительный,,панельный,,,,,5 / 9,8581,874
31,31,"Минск, Дзержинского просп., 84",40/18/10,1192728,, 11/25 мк , 1/1 ,53.8674,27.4858,10.0,814 руб/месяц,400 $/месяц,8,69,Юго-Запад,,лоджия застекленная,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, душевая кабина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",,,2013.0,2017-11-18,"домофон, металлическая дверь, консьержка, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом спортивный центр, рядом зеленая зона, элитная квартира",есть,Петровщина,,,Минск,улучшенный проект,электрическая,ламинат,месяц,"Квартира с новым дизайнерским ремонтом,повышенной комфортности.Желательно для семейной пары, без животных. На длительный срок.Полное оформление.Залог.",,Московский район,евроремонт,раздельный,,,длительный,есть,монолитно-каркасный,,,,,11 / 25,6454,318
32,32,"Минск, Победителей просп., 121",36/25/10,1207866,, 1н/5 кар , 1/1 ,53.938124,27.473428,18.0,713 руб/месяц,350 $/месяц,60,102,Лебяжий,,нет,"холодильник, стиральная машина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",1-й низкий,,2016.0,2017-12-07,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты, парковка, окна во двор, детская площадка, рядом магазин, рядом спортивный центр, рядом зеленая зона",есть,Спортивная,,,Минск,новостройка,электрическая,ламинат,месяц,Новая отличная квартира!!! никто не проживал.,,Центральный район,отличный ремонт,раздельный,,,длительный,есть,каркасно-блочный,,семье,,,1 / 5,6874,3326
33,33,"Минск, Дзержинского просп., 11",42/37/0,989948,"Сдается однокомнатная квартира-студия!Идеальное расположение, ст. метро ""Грушевка"" 200 м, до центра города 5 мин., рядом школа, детсад, магазины, фитнес, автостоянка. Дом новый, современного дизайна. Имеется техника : печь свч, холодильник, чайник, стиральная машина, плита(стеклокерамика), духовой шкаф.Есть ЖКИ телевизор диаметром 40 дюймов. Есть отличный диван.Подключен договор с Zala, есть WI-Fi. Оплата за первый и последний месяц. Без домашних животных!!Квартира располагает к приятному и комфортному проживанию. ", 16в/24 мк , 1/1 ,53.88825,27.520715000000006,6.0,814 руб/месяц,400 $/месяц,12,92,"Уманская, Железнодорожная, Грушевская",Гарант Недвижимость,,,,,2014.0,2017-12-01,,есть,Грушевка,,,Минск,улучшенный проект,,ламинат,не нужна,,,Московский район,евроремонт,раздельный,,,длительный,есть,монолитно-каркасный,,,по факту,,16 / 24,3226,432
34,34,"Минск, Алибегова ул., 26",40/19/13,1197573,"Сдается чистая и аккуратная 1-комнатная квартира в новом доме по адресу: ул. Алибегова д.26, ближайшая ст.м. Петровщина. Евроремонт,квартира полностью укомплектована новой мебелью и современной бытовой техникой: TV, стиpальная машина, СВЧ, холодильник. По желанию может быть доукомплектована необходимой мебелью и техникой. Пpостоpная паpковка, 2 лифта,консьерж. Рядом развитая инфраструктура, необходимые магазины. Квартира полностью готова к проживанию.", 3в/14 кб , 1/1 ,53.8723,27.4791,5.0,814 руб/месяц,400 $/месяц,9,39,Михалово,Гарант Недвижимость,,,,,2014.0,2017-12-01,,есть,Петровщина,,,Минск,новостройка,,ламинат,не нужна,,,Московский район,евроремонт,,,,длительный,есть,кб,,,по факту,,3 / 14,6480,972
35,35,"Минск, Денисовская ул., 51",43/19/12,1141261,, 11/17 мк , 1/1 ,53.8745,27.5796,8.0,814 руб/месяц,400 $/месяц,11,45,Маяковского,,лоджия,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, душевая кабина, телевизор, интернет, высокоскоростной интернет, кондиционер",,,2013.0,2017-10-28,"домофон, видеодомофон, металлическая дверь, лифт, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом зеленая зона, элитная квартира",есть,Пролетарская,,,Минск,новостройка,электрическая,паркетная доска,месяц,Красивый вид на р .Свислочь. Новая сантехника.Подогревы пола. Фильтр питьевой воды с обратным осмосом. Современное светодиодное освещение.,,Ленинский район,отличный ремонт,совмещенный,,,длительный,нет,монолитно-каркасный,,семье,,,11 / 17,3541,1794
36,36,"Минск, Машерова просп., 43",45/21/13,1200874,, 12/18 кар , 1/1 ,53.9109,27.5308,9.0,713 руб/месяц,350 $/месяц,8,49,"Победителей, Заславская",,лоджия,"холодильник, стиральная машина, телевизор, интернет, высокоскоростной интернет",,,2011.0,2017-11-27,"домофон, видеодомофон, металлическая дверь, охраняемая территория, лифт, встроенные шкафы, стеклопакеты, подземный гараж, хороший вид из окна, окна во двор, благоустроенный двор, рядом магазин, рядом супермаркет, рядом зеленая зона",есть,Молодежная,,,Минск,новостройка,электрическая,ламинат,,"Сдается 1-х комнатная квартира на длительный срок с хорошим ремонтом , новый дом повышенной комфортности, полностью готова к заселению и проживанию. Высокий этаж, шаговая доступность к метро Фрунзенская и Молодежная, ТЦ Корона, сдается на длительный срок.",,Центральный район,хороший ремонт,раздельный,,,длительный,есть,каркасно-блочный,,,,,12 / 18,2133,723
37,37,"Минск, Грибоедова ул., 2/А",32/18/7,1195738,, 4/6 к , 1/1 ,53.912426,27.528836,5.0,713 руб/месяц,350 $/месяц,14,82,"Победителей, Заславская",,лоджия,"холодильник, стиральная машина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",,,2008.0,2017-11-17,"домофон, металлическая дверь, окна во двор, благоустроенный двор, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом зеленая зона",есть,Молодежная,,,Минск,улучшенный проект,газовая,ламинат,месяц,"Мебель, металлическая дверь, стеклопакеты, счетчики воды, стоянка автомобиля, бытовая техника, домофон, центр города, готова к проживанию, зеленая зона. Теплая и уютная квартира полностью готова к проживанию. Кухня встроенная, натяжной потолок, на полу ламинат, в сан.узле современная плитка, окна выходят во двор. Отлично развитая инфраструктура, шаговая доступность к метро Фрунзенская и Молодежная, Парк Победы, Стелла, ТЦ Корона, идеальный и удобный для проживания район.",,Центральный район,евроремонт,совмещенный,,,длительный,есть,кирпичный,,,,,4 / 6,2314,769
38,38,"Минск, Мстиславца ул., 5",43/25/15,567691,, 2/10 , 1/1 ,53.929023,27.652624,10.0,794 руб/месяц,390 $/месяц,10,97,Восток,,лоджия,"холодильник, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, высокоскоростной интернет",,,,2017-11-16,"металлическая дверь, консьержка, парковка, рядом гипермаркет, рядом зеленая зона, элитная квартира",есть,Восток,,,Минск,новостройка,электрическая,ламинат,месяц,"Запрет субаренды, без животных, для некурящих, есть все для жизни, срок от 1 года и более, залог обязательно, договор, рядом метро, район национальной библиотеки.",,Первомайский район,евроремонт,совмещенный,,,длительный,есть,,,,,,2 / 10,6562,609
