,Unnamed: 0,address,area,code,description,floor,kv,latitude,longitude,photos,price_local,price_usa,views_day,views_week,zones,Агентство,Балкон,Бытовая техника,Вид этажа,Год кап.ремонта,Год постройки,Дата обновления,Дополнительно,Мебель,Метро,На Новый год,Направление,Населенный пункт,Планировка,Плита,Полы,Предоплата,Примечания,Район (области),Район города,Ремонт,Сан/узел,Соседи по квартире,Специалист,Срок сдачи,Телефон,Тип дома,УНП,Условия сдачи,Услуга агентства,Число спальных мест,Этаж / этажность,До центра,До метро
1653,1653,"Минск, Орловская ул., 86/1",64/43/7,1177282,"Отличная квартира в аренду на длительный срок в центре города Минска, в пешей доступности все достопримечательности. Мебель и техника импортные, удобное транспортное сообщение. Готова принять жильцов  с 15.11.2017года", 4/9 п , 3/3 ,53.929,27.5089,13.0,1 283 руб/месяц,630 $/месяц,5,18,Веснянка,Юриэлт,лоджия застекленная,"холодильник, стиральная машина, телевизор, интернет",,,,2017-12-06,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, рядом магазин",частично,Пушкинская,,,Минск,,электрическая,,месяц,"Отличная квартира в аренду на длительный срок в центре города Минска, в пешей доступности все достопримечательности, мебель и техника импортные. Готова принять жильцов с 15.11.2017года",,Центральный район,отличный ремонт,раздельный,,,длительный,есть,панельный,,,по факту,,4 / 9,4393,2288
1654,1654,"Минск, Сморговский тракт, 3",66/50/0,1189563,"Сдаётся от собственника, без комиссии.Сдам новую 3-комнатную квартиру по адресу Сморговский тракт 3. Квартира ранее не сдавалась. Третью комнату можем доукомплектовать под арендатора. В квартире имеется кровать, раскладной диван, стиральная машина, высокоскоростной интернет. Кухня укомплектована импортной бытовой техникой: холодильник, духовой шкаф, варочная поверхность, посудомоечная машина. Тихий и спокойный район с развитой инфраструктурой. В шаговой доступности магазины, кафе, банки, гимназия, детские сады и школы, кинотеатр. Рядом с домом отличное место для прогулок – Киевский сквер. Подготовкой и размещением рекламных материалов занималась компания REALEST.", 2/20 кб , 3/2 ,53.93,27.5504,13.0,1 120 руб/месяц,550 $/месяц,9,30,"Червякова, Шевченко",,лоджия,,,,2015.0,2017-12-05,,есть,Площадь Якуба Коласа,,,Минск,новостройка,электрическая,,,"Сдаётся от собственника, без комиссии.Сдам новую 3-комнатную квартиру по адресу Сморговский тракт 3. Квартира ранее не сдавалась. Третью комнату можем доукомплектовать под арендатора. В квартире имеется кровать, раскладной диван, стиральная машина, высокоскоростной интернет. Кухня укомплектована импортной бытовой техникой: холодильник, духовой шкаф, варочная поверхность, посудомоечная машина. Тихий и спокойный район с развитой инфраструктурой. В шаговой доступности магазины, кафе, банки, гимназия, детские сады и школы, кинотеатр. Рядом с домом отличное место для прогулок – Киевский сквер. Подготовкой и размещением рекламных материалов занималась компания REALEST.",,Центральный район,евроремонт,совмещенный,,,длительный,есть,кб,,,,,2 / 20,2927,2687
1655,1655,"Минск, Победителей просп., 3",73/52/0,1199011,, 7/7 к , 3/3 ,53.906438,27.551071000000004,15.0,1 120 руб/месяц,550 $/месяц,9,34,"Победителей, Заславская",,балкон,"холодильник, посуда, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, телевизор, интернет, высокоскоростной интернет",,2012.0,1965.0,2017-11-23,"домофон, сигнализация, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, хороший вид из окна, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом спортивный центр, рядом зеленая зона",есть,Немига,,,Минск,брежневка,газовая,паркет,,"Квартира в самом центре Минска. Великолепный вид из окна. В шаговой доступности торговые центры, рестораны, кинотеатры, школа, зеленая зона, велодорожка. Полностью мебелирована. Ранее не сдавалась. Прописан 1 человек.",,Центральный район,хороший ремонт,раздельный,,,длительный,есть,кирпичный,,,,,7 / 7,716,207
1656,1656,"Минск, Победителей просп., 95/2",62/52/0,1194234,, 12/14 , 3/3 ,53.932415,27.50194,13.0,1 120 руб/месяц,550 $/месяц,5,23,Веснянка,,балкон застекленный + вагонка,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет",,,,2017-11-14,,есть,Пушкинская,,,Минск,улучшенный проект,электрическая,паркет,месяц,Сдам квартиру улучшенной планировки!(большая кухня),,Центральный район,хороший ремонт,совмещенный,,,длительный,есть,,,,,,12 / 14,4986,2553
1657,1657,"Минск, Беды ул., 2/Б",123/64/21,1079333,"Актуальное предложение! Сдается 3-х комн. квартира  с евроремонтом по ул. Беды 2б. Есть подземный паркинг. Квартира полностью укомплектована всей мебелью и бытовой техникой, кухня со встроенной бытовой техникой,  шикарный вид на Минск. Две отдельные комнаты, просторная гостиная, два совмещенных санузла, гардеробная комната. Современный дом с подземным паркингом и видеонаблюдением, рядом ТЦ ""Рига"", до ст.м. ""Академия наук"" 2 остановки или 15 минут пешком, рядом парк, гимназия, садики. Мебель можно вывезти. Оплата в бел. рублях. Готова для заселения и комфортного проживания!", 1в/17 кб , 3/2 ,53.9309,27.5895,16.0,1 221 руб/месяц,600 $/месяц,8,36,"Я.Коласа-Рига, Некрасова, Восточная",Гарант Недвижимость,,,1-й высокий,,2010.0,2017-12-01,,есть,Академия Наук,,,Минск,улучшенный проект,,ламинат,не нужна,,,Советский район,евроремонт,,,,длительный,есть,кб,,,по факту,,1 / 17,3462,1183
1658,1658,"Минск, Беды ул., 45",102/55/13,1202707,, 6/12 кб , 3/3 ,53.9424,27.5971,12.0,1 221 руб/месяц,600 $/месяц,5,40,"Я.Коласа-Рига, Некрасова, Восточная",,2 лоджии застекленные,"холодильник, посудомоечная машина, телевизор, интернет",,,2011.0,2017-11-29,"металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин",есть,Академия Наук,,,Минск,новостройка,электрическая,ламинат,2 месяца,"Зарегистрирован 1 человек.Оплата 1-й месяц 800$, ср 2-го - 600$ + залог.Встроенная кухня с бытовой техникой - вытяжка,духовой шкаф, посудомоечная машина. Телевизор3 шкафа-купе.Остальную мебель докупим",,Советский район,отличный ремонт,2 сан/узла,,,длительный,есть,кб,,,,,6 / 12,4817,2286
1659,1659,"Минск, Свердлова ул., 19",64/39/7,995088,"Сдаётся 3-комнатная квартира в Центре Минска. Район Вокзала. Ул.  Свердлова , д. 19Квартира только после ремонта. Ремонт выполнен из качественных материалов. Встроенная кухня, при необходимости установится варочная поверхность на 4 конфорки, большой холодильник. 2 Спальни с большими кроватями, ортопедическими матрацами, зал с удобным диваном, большим современным телевизором.Wi-fi. В подъезде уборка 2 раза в неделю. Видеонаблюдение. Постоянное наличие свободных мест на парковке. Предложение уникальное. Цена ниже рыночной. Заинтересовала предложение  ? Звоните прямо сейчас! Завтра будет обидно упустить такую возможность.", 3в/4 к , 3/3 ,53.8906,27.5602,10.0,1 283 руб/месяц,630 $/месяц,5,17,"Маркса, Кирова",Гарант Недвижимость,,,,,1950.0,2017-12-01,,есть,Первомайская,,,Минск,сталинка,,ламинат,не нужна,,,Ленинский район,евроремонт,,,,длительный,есть,кирпичный,,,по факту,,3 / 4,1548,776
1660,1660,"Минск, Дзержинского просп., 84",86/50/0,1198602,, 15/25 , 3/2 ,53.8674,27.4858,17.0,1 272 руб/месяц,625 $/месяц,11,57,Юго-Запад,,,,,,,2017-12-04,,,Петровщина,,,Минск,,,,,"Полностью укомплектованная квартира, сдается впервые.",,Московский район,,,,,длительный,,,,,,,15 / 25,6454,318
1661,1661,"Минск, Червякова ул., 8",69/47/9,1160879,, 7/9 к , 3/3 ,53.922,27.5514,11.0,1 256 руб/месяц,617 $/месяц,8,25,"Червякова, Шевченко",,2 лоджии застекленные,"холодильник, посуда, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, джакузи, телевизор, DVD-проигрыватель, домашний кинотеатр, высокоскоростной интернет, кондиционер",,2008.0,1978.0,2017-09-15,"домофон, видеодомофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона, элитная квартира",есть,Немига,,,Минск,чешский проект,газовая,паркет,2 месяца,,,Центральный район,евроремонт,2 сан/узла,,,длительный,нет,кирпичный,,семье,,,7 / 9,2055,1817
1662,1662,"Минск, Победителей просп., 95/1",62/56/0,1194185,, 12/14 , 3/3 ,53.9326,27.5009,12.0,1 120 руб/месяц,550 $/месяц,5,25,Веснянка,,,"холодильник, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, телевизор, компьютер, интернет, высокоскоростной интернет, компьютерная сеть",,,,2017-11-14,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом спортивный центр",,Пушкинская,,,Минск,,,,,Сдам 3 улучшенная планировка (большая кухня) Не агент!,,Центральный район,,,,,длительный,,,,,,,12 / 14,5052,2566
1663,1663,"Минск, Победителей просп., 39",65/39/8,755284,"Трехкомнатная квартира с хорошим ремонтом в шаговой доступности от Парка Победы и Комсомольского озера Рядом широкий спектр магазинов, бизнес центр столицы Полностью готова к проживанию, есть вся мебель,встроенная кухня Без взимания комиссии агентству СРОЧНО", 5/10 к , 3/3 ,53.913953,27.535951,14.0,1 120 руб/месяц,550 $/месяц,5,34,"Победителей, Заславская",Юриэлт,лоджия застекленная,"холодильник, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет",,,,2017-12-06,"VIP-квартира, металлическая дверь, лифт, встроенные шкафы, стеклопакеты",есть,Фрунзенская,,,Минск,,,паркет,месяц,"Хорошая квартира в центре города. хороший ремонт, электрическая плита, мебель. Есть все для комфортного проживания",,Центральный район,евроремонт,раздельный,,,длительный,есть,кирпичный,,,по факту,,5 / 10,1976,985
1664,1664,"Минск, Победителей просп., 95/1",67/55/0,650004,, 12/14 , 3/3 ,53.932415,27.50194,16.0,1 120 руб/месяц,550 $/месяц,6,17,Веснянка,,лоджия застекленная,"холодильник, посуда, свч-печь, мелкая бытовая техника, посудомоечная машина, стиральная машина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",,,,2017-11-14,"сигнализация, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",есть,Пушкинская,,,Минск,улучшенный проект,электрическая,паркет,месяц,,,Центральный район,отличный ремонт,совмещенный,,,длительный,есть,,,,,,12 / 14,4986,2553
